,0
0,reviewer mention hook right exly happen thing strike brutality unflinche violence set right word trust _NEG_faint hearted timid pull punch regard drug sex violence hardcore classic use word nickname oswald maximum security state penitentary focus mainly emerald city experimental section prison cell glass face inward privacy _NEG_high agenda city home aryans muslims gangstas latinos christians italian irish scuffle death stare dodgy dealing shady agreement _NEG_far away main appeal _NEG_dare forget pretty picture paint mainstream audience forget charm forget roce _NEG_mess strike nasty surreal _NEG_ready develop taste accustomed high level graphic violence _NEG_violence injustice crooked guard sell nickel inmate kill order away nere middle class inmate turn prison bitch lack street skill prison experience ing comfortable uncomfortable view touch dark
1,wonderful little production ing technique unassuming old time bbc fashion comforting discomforting sense realism entire piece extremely choose michael sheen polari voice pat truly seamless editing guide reference williams diary entry worth ing terrificly write perform piece masterful production great master comedy life realism come home little thing fantasy guard _NEG_use traditional dream technique remain solid disappear play knowledge sense particularly concern orton halliwell set particularly flat halliwell mural decorate surface terribly
2,wonderful way spend time hot air condition theater light hearted comedy simplistic dialogue witty likable bread suspect serial killer disappoint realize _NEG_match point risk addiction proof woody allen fully control style grow love laugh woody comedy year dare _NEG_impressed scarlet johanson aged tone sexy image jump right average spirit young _NEG_crown jewel career witty devil wear prada interesting super great comedy friend
3,basically family little boy jake zombie closet parent fight time slow soap opera suddenly jake decide rambo kill zombie decide thriller drama drama able parent divorce argue real life jake closet totally ruin expect boogey similar _NEG_drama meaningless thriller spot play parent descent dialog shot jake ignore
4,petter love time visually stunning offer vivid portrait relation tell power success different uation encounter variation schnitzler play theme transfer ion present time different meet connect connect way know previous point stylishly sophisticated luxurious look live world live habitat thing soul picture different stage loneliness inhabit big city _NEG_exly good place relation find sincere fulfillment discern case encounter ing good direction kane adrian grenier rest talented come alive wish good luck await anxiously work
5,probably time favorite selflessness sacrifice dedication noble _NEG_preachy boring _NEG_old despite time year paul lukas perforce bring tear eye bette truly sympathetic delight kid grandma dress midget child fun mother slow awakening happen world roof believable startling thumb
6,sure like resurrection date seahunt series tech bring kid excitement grow black white seahunt gunsmoke hero week vote comeback new sea hunt need change pace work world water adventure way thank outlet view viewpoint ole way believe want nice read plus point sea hunt rhyme line let submit leave doubt quit let
7,amazing fresh innovative idea air year brilliant thing drop _NEG_funny anymore continue decline far complete waste time truly disgraceful far fall writing painfully bad perforce bad _NEG_mildly entertaining respite guest host probably _NEG_air find hard believe creator hand select original choose band hack follow recognize brilliance fit replace mediocrity feel star respect original huge success awful _NEG_believe air
8,encourage poive comment look forward bad mistake truly bad awful way edit pace line soundtrack song lame country tune play time look cheap nasty bore extreme rarely happy end credit thing prevent score harvey keitel far good perforce bit effort keitel obsessive
9,like original gut wrenching laughter like young old love hell mom like great camp
10,alien quirky humour base oddness _NEG_ual punchline odd pretty funny progress _NEG_find joke oddness funny anymore low budget _NEG_problem pretty interesting eventually lose interest imagine appeal stoner currently partake similar try brother planet
11,come recall scary big bird eat dangle helplessly parachute right air horror horror young kid cheesy afternoon tired formula monster type usually include hero beautiful daughter professor happy resolution monster die end _NEG_care rotic angle year old predictable love unintentional humor year later psycho come love star janet leigh bump early notice point screenwriter scary possible _NEG_worn formula rule
12,_NEG_big fan boll work _NEG_enjoy postal maybe boll apparently buy right use far cry long ago game finsishe enjoy kill mercs infiltrate secret research lab locate tropical island warn _NEG_far cry boll scheme legion schmuck feel loneley set boll invite countryman play player til schweiger udo ralf moeller ually selfs pretty big biz tale jack carver play til schweiger yes carver ger hail bratwurst eat dude find til pretty badass complain _NEG_stay true carver agenda carver perspective _NEG_know look kick line demented evil mad scientist krieger play udo genetically mutate soldier gms perform secret research island remind spoiler vancouver reason right palm tree _NEG_nice rich lumberjack wood _NEG_far start cry mehehe _NEG_want stay true boll shenanigan _NEG_disappoint deliver true boll experience mean suck thing worth mention imply boll good work area nice boat fight crome albino gms squad enter laugh far cry reek scheisse poop simpleton want wiff ahead btw carver annoying sidekick want shoot minute screen
13,play lose appreciate try bring masse ruin good play favorite _NEG_know know certain rev bowdler bowdlerization try similar victorian era word _NEG_improve perfection write write line text compoion _NEG_forte saying _NEG_cut
14,fantastic prisoner famous george clooney _NEG_fan roll _NEG_bad good thing soundtrack constant sorrow recomd everybody greeting bart
15,kind draw erotic realize amateurish unbelievable bit sort high school project rosanna arquette stock bizarre suppose midw town pretty hard involve lesson learn brilliant insight stilte ridiculous lot skin intrigue tape nonsense bisexual relationship heterosexual encounter absurd dance everybody play stereotyped pass mile bad waste spend starve child aid
16,simply _NEG_remade _NEG_bad fail capture flavor terror title excellent hold exception owen _NEG_bring right feel luke major fault version stray far shirley jackson attempt grandiose lose thrill early trade snazzy special effect _NEG_bad enjoy friction terror old version
17,awful horrible _NEG_continuous minute _NEG_fight monster chance development busy run sword fight emotional attachment big bad machine want destroy blatantly steal lotr star war matrix example ghost end steal final old star war yoda obee vader spider machine beginning exly frodo attack spider return king elijah wood victim wait hypnotize sting victim wrap hello machine hus theme matrix terminator example waste time tell nazi nazi juvenile line rush juvenile conclusion _NEG_decide child adult _NEG_awful real disappointment save
18,remember picture dark place nervous dad brother sister newbury newbury berkshire england recall tiger lot snow appearance grizzly adams dan haggery tiger gets shoot die know find etc let know turn fitness club big shame near mile away love hear
19,awful real stinker nominate golden globe famous renaissance painter gle recognition complaint _NEG_liberty good perfectly fine simply bizarre account true far come dishwater dull suppose _NEG_naked fual version hurriedly cap end summary save hour favor rest brevity
20,success die hard sequel surprise glut die hard cash wrong wrong place wrong time concept cliffhanger die hard mountain time rescue sly stop mom shoot stallone career cliffhanger big nit picker dream especially expert mountain climbing base jumping aviation facial expression ing skill excuse dismiss overblown pile junk stallone aged horse forget nonsense ually lovable undeniably entertain romp deliver plenty thrill unintentionally plenty laugh love john lithgows sneery evilness tick box band baddie good perently harass hapless turncoat agent rex linn traver henry portrait serial killer noteworthy cringe worthy perforce hal insist constantly shriek painful disbelief captor _NEG_hurt anybody whilst surely _NEG_grin plummet death mention burn fairbrass brit bad come cropper whilst use hal football yes _NEG_help enjoy bit hal need good kicking forget judgement care _NEG_happen low ing expectation turn volume enjoy look qaulen wear helicopter
21,terrible misfortune view save time bad time _NEG_fail aspect good _NEG_interesting paper thin _NEG_believable bad direction ion sequence fake funny pack crappy liner respectable find amusing little bit suppose gear utterly unattrive especially old wrinkle thing come end try appear sexy weird horrible costume fail miserably ridiculous laugh painful
22,absolutely stunning hrs kill _NEG_regret fun rajnikanth carry shoulder _NEG_like music reh time grow hear time start like
23,let thing straight anime fan matter use speed racer time preschool hilarious godzilla lot come like usual crappy sudden boom anime come wwaayy downhill animation bad cheap bad remember speed racer crissake cheap vividly remember bunch kid run school kid terrible dinosaur look bad godzilla addition tranion live ion animation unorganized dialogue voice especially dub view horrid beg dad tape vhs player thing survive crack joke comment robot joel mst pick honestly way barely enjoy survive time heck plan fellow otaku pal night stupid pretty painful unintentionally hilarious time improvement originally accord grading scale mean pretty boring bad fun count find way fun fun count
24,bad worldfest receive applause receive recognition base know great beal minute parker ress allow rest ing hard judge ridiculous predictable main totally unsympathetic bore real emotional depth revolve _NEG_work _NEG_feel original development cop feel straight _NEG_good standard
25,little singer complex life fail accurate detail gibb portray _NEG_fine election good ress play naive sort dumb need strong strong ality louise fletcher agne terrific great job mother great song include soundtrack album unfortunately _NEG_rating usa country
26,cell exotic masterpiece dizzying trip vast mind serial killer talented conclusive evidence achieve unleash uninhibited imagination boldness work push aside thought fall formula cliche create truly magnificent good read numerous complaint style substance poorly bad ing negatively criticize miss point landmark tradition future hopefully follow cell open door world imagination slam door face tell tarsem singh _NEG_want ally welcome tarsem love try challenge hear talk inside mind serial killer yes agree genre bit overwork try depict serial killer tick work fail cell _NEG_blaze trail new twist physically transport mind present fascinating journey mysterious subject matter study like _NEG_bog scientific jargon try explain jennifer lopez ually enter brain _NEG_lie laboratory table wrap long twizzler jaunt entity cell want let guess _NEG_like true explanation venture new ground let desire simply notice dark reality maybe contrast bright visual inside brain nonetheless set design simply astonishing _NEG_surprised home oscar tography good costume good like nominate good picture notice kind repeat _NEG_stress fantastic cell walk open mind wonder eye popping feast assure good time guess little write weird crazy psychology imagination mind right alley leave theater hear audience member sure lot good drug want smoke
27,try thing sting political satire blockbuster sappy rotic comedy family value promo list fail miserably interest turn end appreciate spirit war inc depress clumsy effort especially target reflect lack existence critique _NEG_simply poor writing direction production particular critique corporatization war poke fun way diminish true atrocity happen remind bit king similarly trivialize genuine concern
28,frustrating energetic totally prepared good time able stand wrong weird looping america funniest home damn parent hate stereo typical latino family need speak responsible need talk little hang hate mention final transcend gloriously bad badness crappy dancing horrible beautiful
29,war genre redone time cliche dialogue rehash ion sequence unavoidable conflict deal large scale combat war come grain bring truly original compelling life silver screen civil war era cold mountain star jude law nicole kid renee zellweger cold mountain war _NEG_entirely accurate true open literally quick dirty battle sequence glory shame cold mountain _NEG_civil war period time center disgruntled confederate soldier play jude law disgusted gruesome war homesick beautiful hamlet cold mountain equally beautiful southern belle leave monroe play nicole kid glance setup appear formulaic rotic interest home audience sympathy root reluctant soldier tribulation battlefield early segment relatively unimpressive somewhat contrive cold mountain soon drastic turn intrepid hero turn deserter incidentally save audience potentially confusing scenario want root confederate begin long odyssey homeward farm cultured way prove little use field soon transform wilderbeast come rescue course tough nails ruby thewes play renee zellweger help farm importantly cope loneliness isolation war bring setting vivid compelling times disturbing portrait war tear south unfold inter surprisingly complex enhance wonderful perforce brendan gleeson ruby deadbeat father ray winstone unrepentant southern law natalie port deeply troubled isolate young mother greatly affect change war northern aggression bad dark pervade anti war message accent effective haunt score chillingly beautiful shot communicate audience _NEG_gruesome battle scarred land traumatize war fight weapon tic war change hellish effect land timelessly relevant age maintain gloomy mood atmosphere unfortunately denigrate _NEG_tepid climax little justice wonderfully form love awkwardly tack beginning end inherently distant abstred absurd nature relationship way fit dismal nature rest mistake cold mountain trait feel good roce inspiring war drama unique vision era sure entertain truly absorb audience life tear apart war entirely desperate rid terrible repercussion altogether
30,taut organically grip edward dmytryk crossfire distinctive suspense thriller unlikely message use look device noir cycle bivouac company soldier cope restlessness hang bar end stranger apartment drunk belligerent beat host death happen jewish police detective young investigates help assign outfit suspicion fall george cooper vanish slay buddy insure silence young close abet superior dmytryk draw precise perforce star bob naturally prototypical angry white hilt underplay istic alert nonchalance _NEG_central young _NEG_gloria grahame fully fledge rendition smart mouthed vulnerable tramp sad sack leech life paul kelly haunt small peripheral memorable politically engaged dmytryk inevitably succumb sermonize pretty confine young reminiscence grandfather die hand bigot early incidentally stretch chronology limit attempt render explanation glib hate jews hillbilly curiously crossfire survive major change work novel base brick foxhole deal gay bash murder homosexuality pale news holocaust begin emerge ashe feel emboldened register protest anti semitism studio quake prospect potential ticket buyer change homophobia anti semitism work general specific _NEG_fit smoothly victim chat lonesome drunk young soldier invite home look odd especially friend tow raise question scenario retain inadvertently leave discreet tip original engine generate murderous rage
31,ardh fine direct great govind nihalani successful hard hit parallel turn commercial success ardh inspiration lead tell real life scenario mumbai police unlike police city mumbai police encompass different system altogether govind nihalani create prical outlay real life approach mumbai police environment police officer colleague describe anand young hot blooded cop come poor family father harsh police constable anand suffer father ideologie incidence father atrocity mother anand approach immediate ion crime inert craving job satisfion revolve anand constant effort crime trample senior lead frustration _NEG_achieve desire job satisfion result frustration anger express excessive violence red room bar turn alcoholic spirit alive constantly fight system aware system metro police politician inertly associate far end compromise unethical price negative finally gets suspend direction master piece thoroughly hard core good memorable anand break underworld gangster rama shetty house arrest follow short conversation fantastic hair raise moment prical approach major punch alcoholism corruption political influence courage deception integral mumbai police aspect deal brilliantly finally belong puri portray anand traverse emotion absolutely brilliantly
32,exposure templario _NEG_good excited find title offering bring cult classic spider baby print quality excellent _NEG_hide deadly dull thrilling opening sequence villager terrible revenge templar set thing motion slow ponderous ultimately unfulfille add insult injury dub _NEG_subtitle promise jacket
33,significant quote entire pronounce halfway protagonist mafia middle titta girolamo physically middle aged originally salerno southern introduce start live life elegant sterile hotel speak year conduct business gradually introduce pivotal apparently unremarkable place employee normally count girolamo cash tell dollar miss usual suitcase tightly stack banknote news quietly icily threaten coax ager want close account tell spectator right end fear catch appear ridiculous _NEG_halfway tell truth having eventually halfway tell truth having accept consequence life ultimately love exly reason beginning titta girolamo trouble initially unsympathetic scowl taciturn curt verge _NEG_reply kind chambermaid waitress hello goodbye point spectator care deeply point life titta decide feel concern appear ridiculous describe slow reveal girolamo day night hotel oddly disjoin deliberate pace reveal mingly mundane irrelevant detail unnecessary reveal essential masterfully construct innovative unfold eye existence titta girolamo imagination identity life unsympathetic unexpectedly end love feel convey elegantly edit sequence interesting use music theme band board especially stand _NEG_contrast way treat mobster odd release conseguenze dell amore imbalsamatore interesting element way use protagonist insomnia _NEG_unlike machinist far explicit way pacino insomnia conseguenze dell amore use condition symbolise deep emotional malaise ram deep obscurity unconscious impossible pin point young sympathetic hotel waitress sofia play grand daughter legendary anna memory titta good friend _NEG_year unexpectedly provide tiny window life titta eventually tentatively accept look _NEG_explicitly spelt spectator know titta accept consequence love unimaginable consequence single sex violence unfold time concede spectator expectation conseguenze dell amore fine representative small quiet discreet renaissance place decline cinecitta world wait produce postino fare vita bella style neglect explore fine creation conseguenze dell amore imbalsamatore loss world
34,_NEG_expect pack pretty terrible way fiver expect know right terrible stretch interesting point occasional camcorder view nice touch drummer drummer damn annoying ually problem boring assume attempt build tension lot happen utterly tedious thumb fast forward button ready press seriously lead singer band great look coz _NEG_mention beautiful hell lot look bit meercat _NEG_mention killer _NEG_worth explain far concerned star reason exception ually funny _NEG_ing talent certainly lot bad lot avoid bored paint dry
35,buy blockbuster sound interesting bit ranma esque idea drag skeleton cute mini skirt restricted view sticker sweet sincere come age weird indie edge wrong wonder restricted sticker hardly foul language little violence close thing nudity honestly _NEG_usually hope nightgown pantie pantie lot _NEG_matter wear miniskirt sort anti religious humor tame lame caricature insincere derivative unoriginal bad _NEG_funny slight listen ray jesus wear television barely qualify _NEG_rate blockbuster refuse let age rent pornographic little kid rent edited version requiem dream insist zack reba bad _NEG_way way worry thing leave offend idea suicide beginning anybody need honestly portray suicide _NEG_virgin suicide teenager rate purely suicide aspect little chance turn write main half suicide lead cause death teenager number chance teen affect
36,death little child hopper investigate killing appear trouble daughter end serial killer catch find dunnit terrible ing unbelievable bad include hopper waste time _NEG_warn
37,lose _NEG_begin begin achingly tedious heroine ting house ually sense menace forebode create apparently constant thunderstorm strangely _NEG_ually hear house great double glazing house apparently mile town hour walk away serve purpose provide surprisingly quick gory murder tedium unbearable beginning suggest spate killing area apparent killer _NEG_venture far house bizarre ritual salt pepper pretty sum inherent lack direction add lead ress _NEG_willing completely irrelevant nude shower truly nasty _NEG_way hope following simply ban final surprisingly extend murder offer curioy value classic daft murder _NEG_worry telegraphed minute walk wood victim come _NEG_steep upward slope obviously struggle halfway figure dress black brandish large scythe slide run rest course _NEG_struggle stand conveniently nice upright murder weapon
38,okay series kind route week week help ride bit pickle wrong great certainly cool series create great writer heaven lack love _NEG_season series _NEG_know rubbish baffle let hope good past series
39,pile dung husband wonder ually product experiment computer program produce listless formulaic propaganda throw face prof disappointingly work hus conspiracy theorist quote steal declaration independence protect way justify ion invasion etc nicholas cage spew line _NEG_use declaration independence bargaining chip straight face husband wonder entire valium shoot reasoning turn new clue truly ridiculous impossible follow bonus misogyny chide involve _NEG_shut clearly look feel need slap title gravity point cage _NEG_shut camera pan look poutily hand like child truly grotesque benefit astonishingly bad laugh scary thing majority med enjoy creepy
40,cliche type substance end feel sucker production good ing quality ing poor good mixed crumby good _NEG_hold lift _NEG_worthy word meet minimum requirement line james wood gooding play caricature look mindless entertainment _NEG_recommend
